log_entry,log_level
17/06/09 21:54:40 INFO storage.BlockManager: Found block rdd_7817_29 locally,INFO
"17/03/28 11:28:55 INFO BlockManagerInfo: Added broadcast_4_piece290 in memory on mesos-slave-18:43227 (size: 4.0 MB, free: 12.5 GB)",INFO
17/06/09 16:56:31 INFO executor.Executor: Finished task 33.0 in stage 126.0 (TID 5078). 2667 bytes result sent to driver,INFO
17/06/09 12:21:08 INFO mapred.SparkHadoopMapRedUtil: attempt_201706091228_8747_m_000038_350359: Committed,INFO
17/06/09 21:13:15 INFO executor.Executor: Running task 12.0 in stage 1816.0 (TID 73895),INFO
17/06/09 17:17:04 INFO executor.Executor: Running task 34.0 in stage 1598.0 (TID 64837),INFO
"17/03/28 16:03:36 INFO BlockManagerInfo: Added broadcast_6_piece136 in memory on mesos-slave-11:42434 (size: 4.0 MB, free: 13.6 GB)",INFO
17/06/09 09:23:49 INFO mapred.SparkHadoopMapRedUtil: attempt_201706090915_0151_m_000019_6423: Committed,INFO
17/06/09 09:54:51 INFO executor.Executor: Finished task 1.0 in stage 1360.0 (TID 54480). 2364 bytes result sent to driver,INFO
17/06/08 20:32:17 INFO executor.Executor: Running task 16.0 in stage 10414.0 (TID 416614),INFO
